Date,Open,High,Low,Close,Adj Close,Volume
2022-03-11,98.709999,100.105003,98.629997,99.379997,97.323044,3634352
2022-03-14,100.330002,102.080002,100.099998,102.000000,99.888824,3220955
2022-03-15,102.550003,103.800003,102.300003,103.779999,101.631981,3188234
2022-03-16,104.309998,104.790001,103.730003,104.760002,102.591698,2869840
2022-03-17,107.000000,107.000000,105.279999,106.150002,103.952927,3996962
2022-03-18,105.739998,106.290001,105.099998,106.290001,104.090027,6310578
2022-03-21,106.290001,107.349998,105.699997,105.699997,103.512238,2217058
2022-03-22,106.900002,107.300003,106.070000,106.070000,103.874580,1773598
2022-03-23,106.629997,107.459999,106.430000,107.449997,105.226013,1705322
2022-03-24,106.349998,107.349998,106.250000,107.349998,105.128090,1676029
2022-03-25,107.290001,107.769997,105.919998,105.919998,103.727684,2925283
2022-03-28,106.980003,107.040001,106.000000,106.139999,103.943130,1280146
2022-03-29,106.449997,107.099998,106.269997,106.370003,104.168373,1579916
2022-03-30,106.980003,107.540001,106.489998,107.070000,104.853882,1735594
2022-03-31,107.199997,107.339996,105.769997,105.769997,103.580788,3259035
2022-04-01,105.769997,106.129997,104.519997,104.529999,102.366455,2047994
2022-04-04,104.790001,105.239998,103.720001,103.720001,101.573219,1542723
2022-04-05,104.070000,104.849998,103.839996,104.360001,102.199974,1304088
2022-04-06,104.040001,105.790001,103.760002,105.709999,103.522034,1879653
2022-04-07,105.019997,105.559998,104.639999,105.239998,103.061760,1347251
2022-04-08,105.650002,105.699997,104.900002,105.379997,103.198860,1740982
2022-04-11,105.800003,107.120003,105.750000,106.879997,104.667816,1515505
2022-04-12,106.790001,107.080002,106.000000,106.709999,104.501335,1334658
2022-04-13,106.550003,106.900002,106.080002,106.550003,104.344650,1479813
2022-04-14,105.910004,107.105003,105.830002,106.500000,104.295677,1393778
2022-04-19,106.809998,107.370003,106.419998,107.010002,104.795128,1758577
2022-04-20,107.510002,108.050003,106.860001,107.239998,105.020363,1834918
2022-04-21,108.000000,108.389999,107.410004,108.349998,106.107391,1872803
2022-04-22,108.000000,108.099998,105.370003,105.370003,103.189072,3289367
2022-04-26,103.010002,105.254997,102.550003,104.750000,102.581902,2387922
2022-04-27,103.680000,103.870003,102.559998,103.000000,100.868126,1758440
2022-04-28,104.089996,104.370003,102.629997,103.230003,101.093369,1607790
2022-04-29,103.800003,104.190002,103.379997,103.879997,101.729904,2251074
2022-05-02,103.099998,103.349998,102.269997,102.970001,100.838745,1289117
2022-05-03,102.250000,102.970001,101.570000,102.260002,100.143440,1229690
2022-05-04,103.199997,103.480003,101.769997,102.980003,100.848541,1490166
2022-05-05,102.980003,104.070000,102.400002,103.709999,101.563423,1778171
2022-05-06,102.639999,102.639999,101.559998,102.400002,100.280540,2436089
2022-05-09,102.279999,102.790001,101.809998,102.660004,100.535164,1449093
2022-05-10,101.800003,102.290001,100.550003,101.699997,99.595024,2909325
2022-05-11,101.610001,102.440002,100.970001,101.510002,99.408966,1696686
2022-05-12,100.650002,102.919998,100.260002,102.150002,100.035721,2911126
2022-05-13,102.419998,102.559998,101.514999,102.279999,100.163025,2897483
2022-05-16,103.000000,103.730003,102.400002,103.330002,101.191292,1696160
2022-05-17,103.970001,105.370003,103.669998,105.120003,102.944244,2147425
2022-05-18,105.400002,105.529999,103.934998,104.800003,102.630867,2073911
2022-05-19,103.510002,104.150002,103.250000,103.800003,101.651566,3044524
2022-05-20,104.000000,105.129997,103.639999,104.599998,102.435005,2869553
2022-05-23,105.260002,105.400002,103.830002,104.500000,102.337074,1476420
2022-05-24,104.150002,105.940002,104.150002,105.089996,102.914864,1765212
2022-05-25,105.699997,107.250000,105.519997,106.169998,103.972511,2405961
2022-05-26,106.459999,107.250000,105.320000,105.430000,103.247826,1894406
2022-05-27,106.809998,107.000000,106.160004,106.629997,104.422989,1461568
2022-05-30,107.000000,107.080002,106.180000,106.559998,104.354439,1894069
2022-05-31,106.290001,106.540001,104.360001,104.360001,102.199974,4192211
2022-06-01,105.000000,106.709999,105.000000,106.709999,104.501335,2044084
2022-06-02,105.660004,105.760002,104.760002,105.440002,103.257622,1545595
2022-06-03,106.209999,106.400002,104.690002,105.199997,103.022583,1671897
2022-06-06,105.099998,105.339996,104.440002,104.680000,102.513351,1061366
2022-06-07,104.099998,104.309998,101.830002,101.959999,99.849648,2301490
2022-06-08,102.400002,102.900002,97.470001,97.470001,95.452583,4931040
2022-06-09,96.000000,96.309998,92.699997,94.949997,92.984741,6983162
2022-06-10,94.300003,96.900002,93.699997,93.779999,91.838959,4520476
2022-06-14,89.699997,91.199997,88.440002,91.199997,89.312355,6989032
2022-06-15,90.500000,91.910004,89.940002,90.620003,88.744362,4460665
2022-06-16,92.290001,92.870003,90.000000,90.470001,88.597466,5203139
2022-06-17,88.250000,88.449997,86.980003,87.260002,85.453911,9136594
2022-06-20,87.800003,89.370003,87.419998,87.550003,85.737907,3499314
2022-06-21,88.379997,89.690002,87.980003,89.669998,87.814026,2458551
2022-06-22,90.790001,90.919998,89.120003,89.570000,87.716095,3340800
2022-06-23,89.610001,90.540001,89.480003,89.750000,87.892372,3006090
2022-06-24,89.349998,90.349998,88.790001,90.160004,88.293884,2760719
2022-06-27,91.989998,93.800003,91.459999,93.739998,91.799782,2891382
2022-06-28,93.989998,94.300003,93.099998,93.540001,91.603928,2486253
2022-06-29,93.300003,93.500000,92.230003,93.000000,91.075104,2391929
2022-06-30,92.400002,92.410004,90.379997,90.379997,88.509331,3821949
2022-07-01,90.970001,91.510002,90.209999,90.699997,88.822701,2828357
2022-07-04,91.830002,92.410004,91.239998,91.449997,89.557182,2113007
2022-07-05,91.120003,92.070000,90.580002,91.230003,89.341743,1908049
2022-07-06,90.620003,92.464996,90.309998,92.000000,90.095802,2837673
2022-07-07,92.239998,93.080002,91.580002,93.080002,91.153450,2438758
2022-07-08,94.000000,94.000000,92.379997,92.589996,90.673584,2405606
2022-07-11,93.000000,93.730003,92.160004,92.550003,90.634422,1505516
2022-07-12,92.949997,93.879997,92.449997,93.629997,91.692062,2669294
2022-07-13,93.750000,94.629997,93.089996,94.629997,92.671364,3038458
2022-07-14,93.540001,94.349998,93.059998,93.220001,91.290550,2558730
2022-07-15,92.459999,93.269997,91.349998,93.269997,91.339508,2727568
2022-07-18,94.309998,94.389999,92.989998,94.239998,92.289436,1849349
2022-07-19,94.370003,94.989998,93.730003,94.949997,92.984741,1718090
2022-07-20,96.000000,96.360001,95.500000,96.019997,94.032593,1775377
2022-07-21,96.199997,97.669998,95.440002,97.620003,95.599480,2660268
2022-07-22,97.349998,98.379997,96.900002,97.800003,95.775757,4505354
2022-07-25,97.879997,97.879997,96.849998,97.070000,95.060860,1672440
2022-07-26,97.290001,97.300003,96.430000,96.730003,94.727905,1269447
2022-07-27,96.510002,99.370003,96.459999,98.900002,96.852989,2221207
2022-07-28,99.480003,100.199997,99.110001,99.889999,97.822495,3301364
2022-07-29,100.300003,101.364998,100.099998,100.769997,98.684273,3122636
2022-08-01,100.680000,101.080002,99.089996,101.080002,98.987862,2374671
2022-08-02,100.989998,102.269997,100.430000,101.970001,99.859444,1905527
2022-08-03,101.250000,101.349998,100.239998,100.470001,98.390488,2021471
2022-08-04,101.070000,101.989998,100.870003,101.800003,99.692963,1916972
2022-08-05,101.589996,101.959999,101.129997,101.410004,99.311035,1551472
2022-08-08,101.080002,102.889999,101.029999,102.599998,100.476402,1662514
2022-08-09,102.190002,102.320000,100.739998,101.279999,99.183723,2629041
2022-08-10,101.279999,101.650002,100.059998,101.000000,98.909515,2880434
2022-08-11,101.400002,102.160004,100.180000,100.849998,98.762619,2725288
2022-08-12,100.150002,100.349998,99.459999,100.339996,98.263176,2721743
2022-08-15,100.430000,101.059998,100.160004,100.459999,98.380692,1503959
2022-08-16,101.099998,101.750000,100.550003,101.459999,99.360001,1989122
2022-08-17,100.400002,100.459999,99.620003,99.620003,99.620003,3400334
2022-08-18,99.970001,101.089996,99.680000,100.989998,100.989998,2811590
2022-08-19,101.050003,101.099998,99.550003,99.949997,99.949997,3405681
2022-08-22,99.309998,99.800003,98.809998,98.959999,98.959999,1796830
2022-08-23,98.500000,98.684998,97.019997,97.019997,97.019997,2354382
2022-08-24,97.250000,98.029999,97.160004,97.199997,97.199997,2155170
2022-08-25,97.529999,98.050003,96.650002,97.820000,97.820000,1706595
2022-08-26,98.199997,98.699997,97.650002,98.309998,98.309998,1915332
2022-08-29,96.529999,96.739998,95.620003,96.279999,96.279999,2107747
2022-08-30,96.410004,97.309998,96.320000,96.550003,96.550003,1833997
2022-08-31,96.559998,97.470001,96.050003,97.470001,97.470001,2916918
2022-09-01,95.870003,96.959999,94.650002,96.050003,96.050003,3228601
2022-09-02,96.099998,97.400002,96.059998,96.949997,96.949997,2183269
2022-09-05,97.480003,97.480003,95.904999,96.510002,96.510002,1963119
2022-09-06,96.220001,96.650002,96.110001,96.110001,96.110001,1676568
2022-09-07,96.010002,96.574997,94.050003,94.099998,94.099998,2876328
2022-09-08,94.669998,95.660004,93.849998,95.209999,95.209999,2701707
2022-09-09,95.769997,97.290001,94.339996,95.529999,95.529999,3030132
2022-09-12,96.000000,96.699997,95.629997,96.279999,96.279999,1596321
2022-09-13,97.000000,98.080002,96.739998,97.940002,97.940002,2343197
2022-09-14,95.629997,95.680000,94.430000,94.459999,94.459999,2958659
2022-09-15,94.849998,95.339996,94.660004,95.059998,95.059998,3364419
2022-09-16,94.550003,95.279999,94.044998,94.230003,94.230003,5980478
2022-09-19,94.250000,95.029999,94.250000,94.660004,94.660004,1474030
2022-09-20,95.949997,96.800003,95.660004,96.529999,96.529999,2389248
2022-09-21,96.279999,96.279999,95.750000,95.989998,95.989998,113483
